IP:PORT, LOSS, DELAY
162.159.193.222:5956,0.00%,181 ms
162.159.193.46:942,0.00%,183 ms
162.159.193.158:942,0.00%,188 ms
162.159.193.61:942,0.00%,188 ms
162.159.193.118:5956,0.00%,190 ms
162.159.193.249:5956,0.00%,191 ms
162.159.193.222:942,0.00%,193 ms
162.159.193.218:5956,0.00%,194 ms
162.159.193.218:942,0.00%,195 ms
162.159.193.204:5956,0.00%,196 ms
162.159.193.158:5956,0.00%,197 ms
162.159.193.27:5956,0.00%,199 ms
162.159.193.27:942,0.00%,199 ms
162.159.193.118:942,0.00%,200 ms
162.159.193.160:942,0.00%,204 ms
162.159.193.224:5956,0.00%,204 ms
162.159.193.43:942,0.00%,206 ms
162.159.193.46:5956,0.00%,207 ms
162.159.193.43:5956,0.00%,208 ms
162.159.193.204:942,0.00%,210 ms
162.159.193.61:5956,0.00%,212 ms
162.159.193.121:5956,0.00%,215 ms
162.159.193.160:5956,0.00%,218 ms
162.159.193.188:5956,0.00%,226 ms
162.159.193.224:942,0.00%,226 ms
162.159.193.76:5956,0.00%,227 ms
162.159.193.188:942,0.00%,229 ms
162.159.193.76:942,0.00%,231 ms
162.159.193.121:942,0.00%,236 ms
