IP:PORT, LOSS, DELAY
162.159.195.110:4177,0.00%,216 ms
162.159.193.154:903,0.00%,217 ms
188.114.96.126:903,0.00%,218 ms
188.114.99.173:903,0.00%,222 ms
162.159.195.188:4177,0.00%,223 ms
188.114.97.113:903,0.00%,223 ms
162.159.193.227:903,0.00%,224 ms
162.159.195.190:4177,0.00%,225 ms
188.114.97.10:4177,0.00%,225 ms
188.114.99.242:903,0.00%,225 ms
162.159.192.127:4177,0.00%,226 ms
162.159.193.114:4177,0.00%,227 ms
188.114.97.162:4177,0.00%,227 ms
188.114.96.168:4177,0.00%,228 ms
188.114.98.60:903,0.00%,228 ms
188.114.98.243:4177,0.00%,229 ms
162.159.193.213:903,0.00%,230 ms
188.114.99.132:903,0.00%,230 ms
162.159.193.114:903,0.00%,231 ms
162.159.193.48:903,0.00%,231 ms
162.159.195.38:4177,0.00%,231 ms
188.114.96.147:4177,0.00%,231 ms
188.114.96.150:903,0.00%,231 ms
188.114.97.164:4177,0.00%,231 ms
188.114.99.16:4177,0.00%,231 ms
162.159.192.143:903,0.00%,232 ms
162.159.193.37:4177,0.00%,232 ms
188.114.96.147:903,0.00%,232 ms
188.114.97.49:903,0.00%,232 ms
188.114.98.80:4177,0.00%,232 ms
162.159.193.179:903,0.00%,233 ms
162.159.193.227:4177,0.00%,233 ms
162.159.195.187:903,0.00%,233 ms
188.114.99.210:4177,0.00%,233 ms
188.114.98.128:903,0.00%,234 ms
188.114.98.134:903,0.00%,234 ms
162.159.193.37:903,0.00%,235 ms
162.159.193.62:4177,0.00%,235 ms
188.114.97.10:903,0.00%,235 ms
188.114.98.134:4177,0.00%,235 ms
188.114.96.126:4177,0.00%,236 ms
188.114.97.49:4177,0.00%,236 ms
162.159.193.9:4177,0.00%,237 ms
188.114.98.191:903,0.00%,237 ms
162.159.192.107:4177,0.00%,238 ms
162.159.193.190:903,0.00%,238 ms
188.114.97.67:4177,0.00%,238 ms
188.114.98.13:4177,0.00%,238 ms
162.159.192.173:4177,0.00%,239 ms
162.159.192.173:903,0.00%,239 ms
162.159.193.48:4177,0.00%,239 ms
162.159.193.9:903,0.00%,239 ms
162.159.195.190:903,0.00%,239 ms
162.159.195.216:4177,0.00%,239 ms
188.114.96.168:903,0.00%,239 ms
188.114.97.162:903,0.00%,239 ms
162.159.193.251:903,0.00%,240 ms
188.114.99.11:903,0.00%,240 ms
162.159.192.118:903,0.00%,241 ms
162.159.192.208:4177,0.00%,241 ms
162.159.192.85:903,0.00%,241 ms
188.114.96.111:4177,0.00%,241 ms
188.114.99.222:903,0.00%,241 ms
162.159.192.155:903,0.00%,242 ms
162.159.195.247:4177,0.00%,242 ms
188.114.99.90:903,0.00%,242 ms
162.159.192.110:903,0.00%,243 ms
162.159.193.236:903,0.00%,243 ms
162.159.195.110:903,0.00%,243 ms
162.159.195.187:4177,0.00%,243 ms
162.159.195.216:903,0.00%,243 ms
188.114.98.191:4177,0.00%,243 ms
162.159.195.217:903,0.00%,244 ms
188.114.97.237:903,0.00%,244 ms
162.159.193.190:4177,0.00%,245 ms
162.159.195.188:903,0.00%,245 ms
188.114.96.111:903,0.00%,245 ms
188.114.96.39:4177,0.00%,245 ms
188.114.96.86:4177,0.00%,245 ms
188.114.97.142:903,0.00%,245 ms
188.114.97.225:4177,0.00%,245 ms
188.114.99.81:4177,0.00%,245 ms
162.159.192.155:4177,0.00%,246 ms
162.159.192.97:903,0.00%,246 ms
188.114.98.80:903,0.00%,246 ms
188.114.99.11:4177,0.00%,246 ms
188.114.99.222:4177,0.00%,246 ms
188.114.98.13:903,0.00%,247 ms
188.114.99.145:903,0.00%,247 ms
162.159.193.62:903,0.00%,248 ms
188.114.96.167:4177,0.00%,248 ms
188.114.96.50:903,0.00%,248 ms
188.114.97.41:4177,0.00%,248 ms
188.114.97.41:903,0.00%,248 ms
188.114.98.220:4177,0.00%,248 ms
162.159.192.143:4177,0.00%,249 ms
162.159.193.213:4177,0.00%,249 ms
162.159.195.108:903,0.00%,249 ms
162.159.195.166:4177,0.00%,249 ms
162.159.195.247:903,0.00%,249 ms
188.114.97.113:4177,0.00%,249 ms
188.114.97.93:903,0.00%,249 ms
188.114.98.243:903,0.00%,249 ms
188.114.97.164:903,0.00%,250 ms
188.114.99.16:903,0.00%,250 ms
188.114.99.8:903,0.00%,250 ms
162.159.192.188:903,0.00%,251 ms
162.159.193.19:903,0.00%,251 ms
162.159.195.207:4177,0.00%,251 ms
188.114.97.106:903,0.00%,251 ms
188.114.99.217:4177,0.00%,251 ms
188.114.99.8:4177,0.00%,251 ms
162.159.192.107:903,0.00%,252 ms
162.159.193.78:903,0.00%,252 ms
188.114.96.164:4177,0.00%,252 ms
188.114.96.90:903,0.00%,252 ms
188.114.98.236:903,0.00%,253 ms
162.159.195.135:4177,0.00%,254 ms
162.159.195.166:903,0.00%,254 ms
162.159.195.217:4177,0.00%,254 ms
188.114.96.150:4177,0.00%,254 ms
188.114.96.167:903,0.00%,254 ms
188.114.97.237:4177,0.00%,254 ms
188.114.99.136:4177,0.00%,254 ms
188.114.99.166:4177,0.00%,254 ms
162.159.192.55:903,0.00%,255 ms
162.159.195.243:903,0.00%,255 ms
162.159.195.38:903,0.00%,255 ms
188.114.98.128:4177,0.00%,255 ms
188.114.96.250:903,0.00%,256 ms
188.114.96.39:903,0.00%,256 ms
188.114.98.60:4177,0.00%,256 ms
188.114.98.79:903,0.00%,256 ms
162.159.192.38:4177,0.00%,257 ms
162.159.193.58:903,0.00%,257 ms
188.114.97.142:4177,0.00%,257 ms
188.114.99.81:903,0.00%,257 ms
162.159.192.110:4177,0.00%,258 ms
162.159.192.118:4177,0.00%,258 ms
162.159.192.38:903,0.00%,258 ms
162.159.192.55:4177,0.00%,258 ms
162.159.192.85:4177,0.00%,258 ms
188.114.96.164:903,0.00%,258 ms
188.114.96.192:4177,0.00%,258 ms
188.114.99.136:903,0.00%,258 ms
188.114.99.210:903,0.00%,258 ms
162.159.193.251:4177,0.00%,259 ms
188.114.96.14:903,0.00%,260 ms
188.114.97.212:903,0.00%,260 ms
162.159.192.127:903,0.00%,262 ms
162.159.193.19:4177,0.00%,262 ms
162.159.195.156:903,0.00%,262 ms
188.114.99.132:4177,0.00%,262 ms
188.114.99.173:4177,0.00%,262 ms
188.114.99.217:903,0.00%,263 ms
162.159.193.154:4177,0.00%,265 ms
188.114.96.250:4177,0.00%,265 ms
188.114.97.106:4177,0.00%,265 ms
188.114.97.67:903,0.00%,265 ms
162.159.192.188:4177,0.00%,266 ms
162.159.195.135:903,0.00%,266 ms
