IP:PORT, LOSS, DELAY
188.114.99.104:955,0.00%,245 ms
162.159.192.26:939,0.00%,247 ms
188.114.96.198:939,0.00%,247 ms
188.114.99.104:939,0.00%,247 ms
162.159.195.219:939,0.00%,249 ms
162.159.192.100:955,0.00%,250 ms
162.159.195.187:939,0.00%,250 ms
188.114.99.173:955,0.00%,250 ms
188.114.99.173:939,0.00%,251 ms
188.114.99.231:955,0.00%,251 ms
162.159.192.103:955,0.00%,252 ms
188.114.97.119:939,0.00%,252 ms
188.114.97.204:939,0.00%,252 ms
188.114.98.44:939,0.00%,252 ms
188.114.98.90:939,0.00%,252 ms
162.159.192.39:939,0.00%,253 ms
162.159.195.130:939,0.00%,253 ms
162.159.195.8:939,0.00%,253 ms
188.114.99.228:939,0.00%,253 ms
188.114.99.228:955,0.00%,253 ms
162.159.192.192:939,0.00%,254 ms
162.159.195.185:939,0.00%,254 ms
188.114.98.34:955,0.00%,254 ms
188.114.97.124:955,0.00%,255 ms
188.114.99.80:955,0.00%,255 ms
162.159.195.130:955,0.00%,256 ms
188.114.96.186:939,0.00%,256 ms
162.159.192.99:939,0.00%,257 ms
162.159.195.219:955,0.00%,257 ms
162.159.195.8:955,0.00%,257 ms
188.114.98.110:955,0.00%,257 ms
188.114.99.26:939,0.00%,257 ms
188.114.99.80:939,0.00%,257 ms
162.159.192.167:955,0.00%,258 ms
188.114.98.130:939,0.00%,258 ms
162.159.192.173:955,0.00%,259 ms
188.114.97.192:955,0.00%,259 ms
188.114.97.192:939,0.00%,260 ms
188.114.97.197:955,0.00%,260 ms
188.114.97.119:955,0.00%,261 ms
188.114.97.158:955,0.00%,261 ms
188.114.98.34:939,0.00%,261 ms
162.159.192.39:955,0.00%,262 ms
162.159.192.136:955,0.00%,263 ms
162.159.195.102:955,0.00%,263 ms
188.114.97.204:955,0.00%,263 ms
188.114.99.134:939,0.00%,263 ms
188.114.96.27:939,0.00%,265 ms
188.114.98.44:955,0.00%,265 ms
188.114.98.102:955,0.00%,266 ms
188.114.98.161:939,0.00%,266 ms
188.114.98.213:955,0.00%,266 ms
188.114.98.25:939,0.00%,266 ms
188.114.96.93:955,0.00%,267 ms
188.114.98.25:955,0.00%,267 ms
188.114.96.220:955,0.00%,268 ms
162.159.195.187:955,0.00%,269 ms
188.114.98.163:955,0.00%,269 ms
162.159.195.213:955,0.00%,270 ms
188.114.97.145:939,0.00%,270 ms
188.114.97.197:939,0.00%,270 ms
162.159.192.72:939,0.00%,271 ms
188.114.96.93:939,0.00%,271 ms
188.114.97.227:955,0.00%,271 ms
162.159.195.233:939,0.00%,272 ms
188.114.97.76:939,0.00%,272 ms
188.114.98.140:939,0.00%,272 ms
188.114.98.213:939,0.00%,272 ms
188.114.99.67:939,0.00%,272 ms
162.159.192.136:939,0.00%,273 ms
162.159.192.181:955,0.00%,273 ms
162.159.195.146:955,0.00%,274 ms
188.114.96.186:955,0.00%,274 ms
188.114.96.200:939,0.00%,274 ms
188.114.96.210:939,0.00%,274 ms
188.114.97.1:955,0.00%,274 ms
188.114.99.48:955,0.00%,274 ms
162.159.195.121:939,0.00%,275 ms
162.159.195.121:955,0.00%,275 ms
162.159.195.213:939,0.00%,275 ms
188.114.96.200:955,0.00%,275 ms
188.114.98.219:939,0.00%,275 ms
188.114.99.113:939,0.00%,275 ms
188.114.99.7:939,0.00%,275 ms
188.114.96.172:939,0.00%,276 ms
188.114.99.28:955,0.00%,276 ms
188.114.99.67:955,0.00%,276 ms
162.159.192.100:939,0.00%,277 ms
188.114.96.18:939,0.00%,278 ms
188.114.98.130:955,0.00%,279 ms
188.114.99.231:939,0.00%,279 ms
188.114.99.26:955,0.00%,279 ms
162.159.195.102:939,0.00%,280 ms
188.114.98.161:955,0.00%,280 ms
188.114.98.90:955,0.00%,280 ms
162.159.192.16:939,0.00%,281 ms
162.159.192.192:955,0.00%,281 ms
188.114.96.172:955,0.00%,281 ms
188.114.97.58:939,0.00%,281 ms
188.114.98.102:939,0.00%,281 ms
188.114.99.28:939,0.00%,281 ms
162.159.192.167:939,0.00%,282 ms
188.114.99.64:955,0.00%,282 ms
188.114.99.66:955,0.00%,282 ms
188.114.97.31:939,0.00%,283 ms
