IP:PORT, LOSS, DELAY
162.159.195.19:4500,0.00%,181 ms
162.159.193.247:8886,0.00%,181 ms
188.114.96.198:4500,0.00%,182 ms
188.114.97.35:8886,0.00%,182 ms
162.159.195.37:4500,0.00%,183 ms
162.159.192.149:8886,0.00%,183 ms
188.114.96.159:4500,0.00%,184 ms
162.159.193.247:4500,0.00%,184 ms
188.114.96.8:4500,0.00%,185 ms
188.114.98.69:4500,0.00%,185 ms
162.159.192.133:4500,0.00%,185 ms
188.114.96.198:8886,0.00%,185 ms
188.114.96.115:4500,0.00%,185 ms
188.114.97.206:4500,0.00%,186 ms
188.114.98.31:8886,0.00%,186 ms
188.114.96.38:8886,0.00%,186 ms
188.114.97.251:8886,0.00%,187 ms
188.114.97.133:4500,0.00%,187 ms
188.114.96.172:8886,0.00%,188 ms
188.114.96.125:4500,0.00%,188 ms
188.114.99.53:8886,0.00%,188 ms
188.114.97.206:8886,0.00%,188 ms
188.114.97.123:8886,0.00%,188 ms
162.159.192.194:4500,0.00%,188 ms
188.114.96.115:8886,0.00%,188 ms
162.159.192.92:4500,0.00%,188 ms
162.159.193.248:8886,0.00%,188 ms
162.159.192.139:8886,0.00%,189 ms
188.114.97.97:4500,0.00%,189 ms
162.159.192.236:8886,0.00%,189 ms
188.114.98.69:8886,0.00%,190 ms
188.114.97.162:8886,0.00%,190 ms
188.114.97.143:4500,0.00%,190 ms
188.114.99.236:8886,0.00%,190 ms
188.114.98.194:8886,0.00%,190 ms
188.114.99.247:4500,0.00%,190 ms
188.114.97.143:8886,0.00%,191 ms
188.114.98.155:4500,0.00%,191 ms
162.159.192.236:4500,0.00%,191 ms
162.159.193.123:8886,0.00%,191 ms
188.114.96.122:8886,0.00%,191 ms
188.114.96.125:8886,0.00%,192 ms
162.159.195.21:4500,0.00%,192 ms
188.114.96.64:4500,0.00%,192 ms
188.114.98.14:4500,0.00%,192 ms
162.159.193.245:4500,0.00%,193 ms
162.159.195.146:8886,0.00%,194 ms
188.114.98.21:8886,0.00%,194 ms
188.114.99.244:4500,0.00%,194 ms
188.114.98.60:8886,0.00%,194 ms
188.114.96.38:4500,0.00%,194 ms
188.114.97.254:4500,0.00%,194 ms
188.114.96.11:8886,0.00%,194 ms
188.114.98.116:4500,0.00%,194 ms
188.114.99.65:4500,0.00%,194 ms
162.159.193.74:8886,0.00%,194 ms
162.159.195.244:8886,0.00%,194 ms
188.114.97.97:8886,0.00%,195 ms
188.114.96.11:4500,0.00%,195 ms
188.114.96.122:4500,0.00%,195 ms
162.159.193.36:8886,0.00%,195 ms
162.159.192.142:8886,0.00%,195 ms
188.114.96.159:8886,0.00%,195 ms
162.159.193.128:4500,0.00%,195 ms
162.159.193.245:8886,0.00%,195 ms
162.159.193.36:4500,0.00%,196 ms
162.159.192.194:8886,0.00%,196 ms
162.159.193.23:8886,0.00%,196 ms
188.114.98.116:8886,0.00%,197 ms
188.114.97.25:8886,0.00%,197 ms
188.114.98.60:4500,0.00%,197 ms
188.114.99.53:4500,0.00%,197 ms
162.159.193.99:4500,0.00%,197 ms
188.114.99.246:8886,0.00%,197 ms
188.114.97.35:4500,0.00%,197 ms
188.114.98.43:4500,0.00%,197 ms
188.114.97.176:8886,0.00%,197 ms
188.114.96.240:4500,0.00%,197 ms
162.159.193.74:4500,0.00%,197 ms
188.114.99.236:4500,0.00%,197 ms
188.114.96.172:4500,0.00%,197 ms
188.114.97.133:8886,0.00%,198 ms
162.159.193.248:4500,0.00%,198 ms
162.159.195.37:8886,0.00%,198 ms
162.159.193.152:4500,0.00%,198 ms
162.159.193.152:8886,0.00%,198 ms
188.114.97.32:8886,0.00%,198 ms
162.159.192.160:8886,0.00%,198 ms
188.114.99.145:4500,0.00%,198 ms
188.114.99.30:4500,0.00%,198 ms
188.114.99.144:4500,0.00%,198 ms
188.114.98.194:4500,0.00%,198 ms
188.114.99.212:4500,0.00%,198 ms
188.114.97.251:4500,0.00%,198 ms
162.159.193.44:8886,0.00%,199 ms
162.159.195.48:8886,0.00%,199 ms
188.114.98.31:4500,0.00%,199 ms
188.114.97.130:4500,0.00%,199 ms
162.159.192.32:8886,0.00%,199 ms
188.114.98.233:4500,0.00%,199 ms
188.114.99.228:8886,0.00%,200 ms
162.159.192.207:4500,0.00%,200 ms
162.159.193.123:4500,0.00%,200 ms
162.159.192.61:4500,0.00%,200 ms
162.159.195.23:4500,0.00%,200 ms
162.159.195.183:4500,0.00%,200 ms
188.114.96.5:8886,0.00%,200 ms
188.114.97.176:4500,0.00%,200 ms
188.114.97.32:4500,0.00%,200 ms
188.114.99.247:8886,0.00%,200 ms
162.159.193.229:8886,0.00%,201 ms
162.159.195.60:8886,0.00%,201 ms
188.114.97.13:4500,0.00%,202 ms
162.159.195.183:8886,0.00%,202 ms
188.114.98.43:8886,0.00%,202 ms
188.114.98.233:8886,0.00%,202 ms
162.159.193.37:8886,0.00%,203 ms
162.159.193.44:4500,0.00%,203 ms
188.114.96.127:8886,0.00%,203 ms
188.114.97.123:4500,0.00%,203 ms
162.159.193.128:8886,0.00%,203 ms
188.114.98.140:8886,0.00%,204 ms
188.114.98.241:8886,0.00%,204 ms
188.114.99.65:8886,0.00%,204 ms
188.114.99.249:8886,0.00%,204 ms
188.114.99.70:8886,0.00%,204 ms
188.114.96.221:8886,0.00%,204 ms
162.159.193.91:4500,0.00%,204 ms
188.114.97.254:8886,0.00%,204 ms
188.114.96.18:4500,0.00%,204 ms
162.159.195.241:4500,0.00%,204 ms
188.114.96.5:4500,0.00%,204 ms
162.159.193.99:8886,0.00%,204 ms
188.114.99.70:4500,0.00%,205 ms
162.159.193.37:4500,0.00%,205 ms
162.159.193.229:4500,0.00%,205 ms
188.114.98.21:4500,0.00%,206 ms
188.114.99.249:4500,0.00%,206 ms
188.114.98.223:4500,0.00%,206 ms
162.159.195.23:8886,0.00%,206 ms
188.114.98.209:4500,0.00%,207 ms
188.114.99.212:8886,0.00%,207 ms
162.159.193.210:4500,0.00%,207 ms
188.114.99.30:8886,0.00%,207 ms
188.114.97.13:8886,0.00%,207 ms
162.159.195.162:8886,0.00%,207 ms
188.114.98.140:4500,0.00%,208 ms
162.159.195.241:8886,0.00%,208 ms
162.159.192.51:4500,0.00%,208 ms
162.159.193.210:8886,0.00%,208 ms
188.114.99.228:4500,0.00%,209 ms
188.114.98.223:8886,0.00%,209 ms
188.114.98.241:4500,0.00%,209 ms
162.159.195.0:8886,0.00%,209 ms
188.114.96.240:8886,0.00%,209 ms
162.159.193.91:8886,0.00%,211 ms
188.114.96.221:4500,0.00%,211 ms
162.159.193.23:4500,0.00%,213 ms
162.159.192.107:4500,100.00%,1000 ms
162.159.192.61:8886,100.00%,1000 ms
