IP:PORT, LOSS, DELAY
162.159.193.89:8742,0.00%,186 ms
162.159.193.89:939,0.00%,186 ms
162.159.193.24:8742,0.00%,189 ms
162.159.193.188:939,0.00%,193 ms
162.159.193.113:8742,0.00%,194 ms
162.159.193.46:939,0.00%,194 ms
162.159.193.46:8742,0.00%,198 ms
162.159.193.143:8742,0.00%,200 ms
162.159.193.159:8742,0.00%,200 ms
162.159.193.178:8742,0.00%,200 ms
162.159.193.178:939,0.00%,200 ms
162.159.193.143:939,0.00%,202 ms
162.159.193.159:939,0.00%,202 ms
162.159.193.22:939,0.00%,202 ms
162.159.193.27:939,0.00%,202 ms
162.159.193.227:8742,0.00%,203 ms
162.159.193.24:939,0.00%,203 ms
162.159.193.196:939,0.00%,204 ms
162.159.193.139:939,0.00%,205 ms
162.159.193.188:8742,0.00%,205 ms
162.159.193.22:8742,0.00%,205 ms
162.159.193.113:939,0.00%,206 ms
162.159.193.115:939,0.00%,206 ms
162.159.193.139:8742,0.00%,206 ms
162.159.193.196:8742,0.00%,206 ms
162.159.193.227:939,0.00%,208 ms
162.159.193.27:8742,0.00%,208 ms
162.159.193.115:8742,0.00%,209 ms
162.159.193.165:8742,0.00%,213 ms
162.159.193.165:939,0.00%,213 ms
